Date;Description;Amount;Currency
01.10.2024;SUSHI BAR ROTHSCHILD;-177,58;ILS
02.10.2024;ALLTECH INSURANCE AGENCY;-312,00;ILS
02.10.2024;CERCLI LTD 143794;-450,00;ILS
02.10.2024;MISHKENOT REVIVIM 08235;-119,30;ILS
02.10.2024;NOTION LABS INC;-16,00;USD
02.10.2024;ORNA PRINT & DESIGN;-233,44;ILS
02.10.2024;PAYONEER WITHDRAWAL 53442430;3503,24;USD
02.10.2024;PAYPAL *ENVATO;-26,91;USD
02.10.2024;SLACK TECHNOLOGIES 301815;-32,50;USD
02.10.2024;STEAM PURCHASE;-70,28;ILS
02.10.2024;WOLT IL 154209;-89,22;ILS
03.10.2024;BEZEQ INTERNATIONAL;-99,00;ILS
03.10.2024;GITHUB INC 0662496;-21,00;USD
03.10.2024;ZOOM.US 419975;-14,99;USD
04.10.2024;ARCAFFE DIZENGOFF;-30,72;ILS
04.10.2024;DOCUSIGN 89786706;-25,00;USD
04.10.2024;JETBRAINS S.R.O.;-24,90;EUR
04.10.2024;OFFICE DEPOT 1211;-83,49;ILS
04.10.2024;OFFICE DEPOT 3862;-220,87;ILS
04.10.2024;RAMI LEVY;-113,43;ILS
05.10.2024;NETFLIX.COM;-54,90;ILS
05.10.2024;ORNA PRINT & DESIGN;-124,36;ILS
05.10.2024;PAYPAL *ENVATO;-46,95;USD
06.10.2024;AWS EMEA 25023612;-136,80;USD
06.10.2024;HETZNER ONLINE GMBH;-39,67;EUR
06.10.2024;MISHKENOT REVIVIM 30170;-112,41;ILS
06.10.2024;ORNA PRINT & DESIGN;-498,23;ILS
06.10.2024;WIRE FEE INTERNATIONAL;-25,00;USD
07.10.2024;AIRBNB * HMXQ23786;-366,71;EUR
07.10.2024;AIRBNB * HMXQ48126;-384,48;EUR
07.10.2024;ALLTECH INSURANCE AGENCY;-312,00;ILS
07.10.2024;CAFE NIMROD;-21,31;ILS
07.10.2024;EL AL AIRLINES 840695;-2160,24;ILS
07.10.2024;GETT TAXI 248576;-48,37;ILS
07.10.2024;INCOMING SEPA CONTOSO GMBH INV-6311;4222,99;EUR
07.10.2024;MISHKENOT REVIVIM 21131;-69,23;ILS
07.10.2024;PARTNER COMMUNICATION 464122;-109,38;ILS
07.10.2024;PAYONEER WITHDRAWAL 97701917;2139,61;USD
07.10.2024;SHUFERSAL DEAL 2185;-197,20;ILS
07.10.2024;SPOTIFY AB;-23,90;ILS
07.10.2024;TENBIS LTD;-76,77;ILS
07.10.2024;TLV PRINTHOUSE;-403,66;ILS
08.10.2024;FIGMA INC;-15,00;USD
08.10.2024;ORNA PRINT & DESIGN;-490,08;ILS
09.10.2024;BOOKING.COM 61984363;-110,47;EUR
09.10.2024;BOOKING.COM 88962231;-302,23;EUR
09.10.2024;CELLCOM ISRAEL;-59,90;ILS
10.10.2024;APPLE.COM/BILL;-16,24;ILS
10.10.2024;ARCAFFE DIZENGOFF;-33,26;ILS
10.10.2024;GOOGLE*GSUITE 122053;-46,80;USD
10.10.2024;MISHKENOT REVIVIM 96769;-84,78;ILS
10.10.2024;OFFICE DEPOT 3340;-133,16;ILS
10.10.2024;PAYPAL *UDEMY;-51,56;USD
10.10.2024;SHUFERSAL DEAL 4614;-151,25;ILS
10.10.2024;SUPER-PHARM 1670;-157,11;ILS
10.10.2024;UBER *TRIP 713287;-53,35;ILS
10.10.2024;WEWORK TLV;-1350,00;ILS
11.10.2024;CARD FEE ANNUAL;-12,00;ILS
11.10.2024;PAYPAL *ENVATO;-34,90;USD
11.10.2024;SHUFERSAL DEAL 0304;-60,10;ILS
11.10.2024;WOLT IL 330198;-84,40;ILS
12.10.2024;ORNA PRINT & DESIGN;-285,62;ILS
12.10.2024;REFUND WOLT IL;116,71;ILS
12.10.2024;REFUND WOLT IL;89,45;ILS
12.10.2024;SHUFERSAL DEAL 8299;-107,01;ILS
12.10.2024;STEAM PURCHASE;-42,06;ILS
12.10.2024;TLV PRINTHOUSE;-405,22;ILS
12.10.2024;WOLT IL 096711;-52,57;ILS
13.10.2024;SUPER-PHARM 0330;-111,50;ILS
13.10.2024;UBER *TRIP 925412;-45,55;ILS
13.10.2024;WIRE FEE INTERNATIONAL;-25,00;USD
14.10.2024;LEUMIT SERVICES LTD;-150,00;ILS
14.10.2024;LEUMIT SERVICES LTD;-150,00;ILS
14.10.2024;PAYPAL *UDEMY;-75,21;USD
14.10.2024;REFUND WOLT IL;113,18;ILS
15.10.2024;ALLTECH INSURANCE AGENCY;-312,00;ILS
15.10.2024;SUPER-PHARM 5187;-103,43;ILS
16.10.2024;EL AL AIRLINES 614194;-892,50;ILS
16.10.2024;INCOME TAX ADVANCE PAYMENT;-1827,43;ILS
17.10.2024;INCOMING TRANSFER ACME DIGITAL LTD INV-0524;15947,42;ILS
17.10.2024;KSP COMPUTERS;-753,60;ILS
17.10.2024;UBER *TRIP 127231;-35,10;ILS
18.10.2024;BOOKING.COM 49080495;-275,97;EUR
18.10.2024;CAFE NIMROD;-41,26;ILS
18.10.2024;PAYONEER WITHDRAWAL 66029747;5476,95;USD
18.10.2024;TLV PRINTHOUSE;-308,19;ILS
18.10.2024;WOLT IL 790239;-130,30;ILS
19.10.2024;FX COMMISSION 227507;-31,25;ILS
19.10.2024;LEUMIT SERVICES LTD;-150,00;ILS
19.10.2024;PAYPAL *ENVATO;-24,55;USD
19.10.2024;STEAM PURCHASE;-59,89;ILS
19.10.2024;TLV PRINTHOUSE;-408,47;ILS
19.10.2024;WOLT IL 389215;-66,30;ILS
19.10.2024;YANGO 040550;-44,03;ILS
20.10.2024;BOOKING.COM 74172404;-357,91;EUR
20.10.2024;KSP COMPUTERS;-184,11;ILS
20.10.2024;RAMI LEVY;-335,01;ILS
20.10.2024;TENBIS LTD;-49,10;ILS
20.10.2024;UBER *TRIP 230255;-69,70;ILS
21.10.2024;ALLTECH INSURANCE AGENCY;-312,00;ILS
21.10.2024;CARD FEE ANNUAL;-12,00;ILS
21.10.2024;SUPER-PHARM 7794;-49,93;ILS
21.10.2024;TAX AUTHORITY VAT PAYMENT;-5789,22;ILS
21.10.2024;TLV PRINTHOUSE;-133,10;ILS
22.10.2024;BITUACH LEUMI NATIONAL INSURANCE;-1120,00;ILS
22.10.2024;CAFE NIMROD;-47,02;ILS
22.10.2024;ORNA PRINT & DESIGN;-381,49;ILS
22.10.2024;WOLT IL 997744;-108,87;ILS
23.10.2024;BANK FEE ACCOUNT MAINTENANCE;-19,90;ILS
23.10.2024;ORNA PRINT & DESIGN;-451,87;ILS
23.10.2024;ORNA PRINT & DESIGN;-492,15;ILS
24.10.2024;GETT TAXI 109710;-108,83;ILS
24.10.2024;STEAM PURCHASE;-87,31;ILS
24.10.2024;WOLT IL 520195;-152,61;ILS
25.10.2024;ALLTECH INSURANCE AGENCY;-312,00;ILS
25.10.2024;CAFE NIMROD;-28,32;ILS
25.10.2024;STEAM PURCHASE;-111,88;ILS
25.10.2024;SUPER-PHARM 5405;-145,91;ILS
25.10.2024;SUSHI BAR ROTHSCHILD;-159,26;ILS
26.10.2024;APPLE.COM/BILL;-13,15;ILS
26.10.2024;EL AL AIRLINES 921860;-1756,29;ILS
26.10.2024;INCOMING TRANSFER NORTHWIND STUDIO INV-8076;5658,63;USD
26.10.2024;KSP COMPUTERS;-811,63;ILS
27.10.2024;AIRBNB * HMXQ71337;-288,82;EUR
27.10.2024;ARCAFFE DIZENGOFF;-44,48;ILS
27.10.2024;ORNA PRINT & DESIGN;-188,06;ILS
27.10.2024;SHUFERSAL DEAL 7941;-71,02;ILS
27.10.2024;STEAM PURCHASE;-82,17;ILS
28.10.2024;RAMI LEVY;-137,23;ILS
28.10.2024;YANGO 875559;-77,46;ILS
29.10.2024;APPLE.COM/BILL;-26,69;ILS
29.10.2024;INCOMING SEPA CONTOSO GMBH INV-6302;3411,36;EUR
29.10.2024;WOLT IL 449356;-134,94;ILS
30.10.2024;PAYONEER WITHDRAWAL 90697733;5735,88;USD
30.10.2024;PAYPAL *ENVATO;-22,62;USD
31.10.2024;ARCAFFE DIZENGOFF;-57,02;ILS
31.10.2024;BOOKING.COM 38012876;-151,19;EUR
31.10.2024;PAYPAL *UDEMY;-77,41;USD
31.10.2024;SUSHI BAR ROTHSCHILD;-116,10;ILS
31.10.2024;YANGO 428766;-63,29;ILS
