Date,Description,Amount,Currency
2024-09-01,GETT TAXI 811441,-108.47,ILS
2024-09-01,KSP COMPUTERS,-194.25,ILS
2024-09-01,KSP COMPUTERS,-854.37,ILS
2024-09-01,MISHKENOT REVIVIM 52218,-206.81,ILS
2024-09-01,OFFICE DEPOT 3961,-174.68,ILS
2024-09-01,OFFICE DEPOT 8886,-252.99,ILS
2024-09-01,OFFICE DEPOT 9009,-242.62,ILS
2024-09-01,ORNA PRINT & DESIGN,-369.26,ILS
2024-09-01,REFUND WOLT IL,94.17,ILS
2024-09-01,SPOTIFY AB,-23.90,ILS
2024-09-01,STEAM PURCHASE,-61.35,ILS
2024-09-01,TENBIS LTD,-80.88,ILS
2024-09-01,YANGO 269501,-43.21,ILS
2024-09-02,AIRBNB * HMXQ74164,-459.03,EUR
2024-09-02,AIRBNB * HMXQ96184,-177.66,EUR
2024-09-02,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-02,APPLE.COM/BILL,-19.29,ILS
2024-09-02,ARCAFFE DIZENGOFF,-42.49,ILS
2024-09-02,BOOKING.COM 34646830,-291.39,EUR
2024-09-02,EL AL AIRLINES 859709,-1313.19,ILS
2024-09-02,KSP COMPUTERS,-234.68,ILS
2024-09-02,MISHKENOT REVIVIM 44653,-47.93,ILS
2024-09-02,OFFICE DEPOT 9461,-47.92,ILS
2024-09-02,ORNA PRINT & DESIGN,-168.53,ILS
2024-09-02,PARTNER COMMUNICATION 415240,-117.87,ILS
2024-09-02,TENBIS LTD,-119.74,ILS
2024-09-02,TLV PRINTHOUSE,-345.01,ILS
2024-09-02,UBER *TRIP 308094,-91.58,ILS
2024-09-02,WOLT IL 388872,-90.59,ILS
2024-09-02,YANGO 682632,-62.97,ILS
2024-09-03,BOOKING.COM 84271091,-183.77,EUR
2024-09-03,CARD FEE ANNUAL,-12.00,ILS
2024-09-03,GITHUB INC 8666982,-21.00,USD
2024-09-03,NOTION LABS INC,-16.00,USD
2024-09-03,OFFICE DEPOT 0169,-77.27,ILS
2024-09-03,SHUFERSAL DEAL 6110,-181.21,ILS
2024-09-03,STEAM PURCHASE,-114.02,ILS
2024-09-03,TAX AUTHORITY VAT PAYMENT,-4752.27,ILS
2024-09-03,WIRE FEE INTERNATIONAL,-25.00,USD
2024-09-04,AIRBNB * HMXQ11839,-580.32,EUR
2024-09-04,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-04,BOOKING.COM 53673591,-267.19,EUR
2024-09-04,LEUMIT SERVICES LTD,-150.00,ILS
2024-09-04,MISHKENOT REVIVIM 37553,-54.61,ILS
2024-09-04,PAYPAL *ENVATO,-30.28,USD
2024-09-04,PAYPAL *UDEMY,-24.10,USD
2024-09-04,SUPER-PHARM 2405,-167.12,ILS
2024-09-04,TENBIS LTD,-99.73,ILS
2024-09-04,TENBIS LTD,-111.30,ILS
2024-09-05,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-05,CAFE NIMROD,-43.68,ILS
2024-09-05,CAFE NIMROD,-34.44,ILS
2024-09-05,EL AL AIRLINES 115600,-1455.36,ILS
2024-09-05,FIGMA INC,-15.00,USD
2024-09-05,LEUMIT SERVICES LTD,-150.00,ILS
2024-09-05,NETFLIX.COM,-54.90,ILS
2024-09-05,ORNA PRINT & DESIGN,-450.79,ILS
2024-09-05,ORNA PRINT & DESIGN,-453.52,ILS
2024-09-05,PAYPAL *ENVATO,-55.83,USD
2024-09-05,PAYPAL *UDEMY,-48.15,USD
2024-09-05,RAMI LEVY,-111.17,ILS
2024-09-05,RAMI LEVY,-320.89,ILS
2024-09-05,SUPER-PHARM 3033,-70.84,ILS
2024-09-05,SUSHI BAR ROTHSCHILD,-116.11,ILS
2024-09-05,YANGO 070233,-66.00,ILS
2024-09-06,ARCAFFE DIZENGOFF,-23.18,ILS
2024-09-06,CELLCOM ISRAEL,-59.90,ILS
2024-09-06,FX COMMISSION 083748,-21.28,ILS
2024-09-06,FX COMMISSION 427108,-9.24,ILS
2024-09-06,LEUMIT SERVICES LTD,-150.00,ILS
2024-09-06,ORNA PRINT & DESIGN,-294.24,ILS
2024-09-06,SUSHI BAR ROTHSCHILD,-231.71,ILS
2024-09-07,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-07,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-07,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-07,BEZEQ INTERNATIONAL,-99.00,ILS
2024-09-07,GETT TAXI 068155,-69.81,ILS
2024-09-07,KSP COMPUTERS,-489.57,ILS
2024-09-07,LEUMIT SERVICES LTD,-150.00,ILS
2024-09-07,PAYPAL *ENVATO,-45.78,USD
2024-09-07,TLV PRINTHOUSE,-249.28,ILS
2024-09-07,TLV PRINTHOUSE,-92.77,ILS
2024-09-07,TLV PRINTHOUSE,-305.61,ILS
2024-09-07,WEWORK TLV,-1350.00,ILS
2024-09-07,ZOOM.US 495552,-14.99,USD
2024-09-08,AWS EMEA 51106311,-176.85,USD
2024-09-08,BOOKING.COM 57446810,-134.49,EUR
2024-09-08,CERCLI LTD 558117,-450.00,ILS
2024-09-08,EL AL AIRLINES 703382,-1340.57,ILS
2024-09-08,GETT TAXI 578044,-94.36,ILS
2024-09-08,INCOMING TRANSFER NORTHWIND STUDIO INV-8197,4319.74,USD
2024-09-08,JETBRAINS S.R.O.,-24.90,EUR
2024-09-08,PAYPAL *ENVATO,-53.51,USD
2024-09-08,RAMI LEVY,-179.51,ILS
2024-09-08,SLACK TECHNOLOGIES 424321,-32.50,USD
2024-09-08,SUPER-PHARM 2237,-165.79,ILS
2024-09-08,SUSHI BAR ROTHSCHILD,-99.99,ILS
2024-09-08,UBER *TRIP 529067,-33.51,ILS
2024-09-09,DOCUSIGN 87233630,-25.00,USD
2024-09-09,GOOGLE*GSUITE 798448,-46.80,USD
2024-09-09,LEUMIT SERVICES LTD,-150.00,ILS
2024-09-09,PAYONEER WITHDRAWAL 01587388,6943.43,USD
2024-09-09,SUPER-PHARM 8407,-102.95,ILS
2024-09-09,UBER *TRIP 395040,-71.52,ILS
2024-09-09,WOLT IL 211263,-68.77,ILS
2024-09-10,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-10,ARCAFFE DIZENGOFF,-42.91,ILS
2024-09-10,BOOKING.COM 59522548,-133.67,EUR
2024-09-10,CAFE NIMROD,-31.45,ILS
2024-09-10,CAFE NIMROD,-31.49,ILS
2024-09-10,CAFE NIMROD,-22.27,ILS
2024-09-10,HETZNER ONLINE GMBH,-39.69,EUR
2024-09-10,INCOMING TRANSFER ACME DIGITAL LTD INV-3558,6811.63,ILS
2024-09-10,MISHKENOT REVIVIM 12777,-60.38,ILS
2024-09-10,MISHKENOT REVIVIM 36804,-82.69,ILS
2024-09-10,MISHKENOT REVIVIM 77344,-93.06,ILS
2024-09-10,MISHKENOT REVIVIM 79191,-208.87,ILS
2024-09-10,OFFICE DEPOT 1205,-99.76,ILS
2024-09-10,PAYPAL *UDEMY,-16.99,USD
2024-09-10,RAMI LEVY,-199.72,ILS
2024-09-10,RAMI LEVY,-311.84,ILS
2024-09-10,SHUFERSAL DEAL 2845,-156.30,ILS
2024-09-11,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-11,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-11,ARCAFFE DIZENGOFF,-53.03,ILS
2024-09-11,EL AL AIRLINES 233703,-1995.13,ILS
2024-09-11,MISHKENOT REVIVIM 74078,-102.16,ILS
2024-09-11,PAYPAL *ENVATO,-24.68,USD
2024-09-11,SUPER-PHARM 2294,-55.17,ILS
2024-09-11,WOLT IL 842639,-108.68,ILS
2024-09-12,ALLTECH INSURANCE AGENCY,-312.00,ILS
2024-09-12,MISHKENOT REVIVIM 97855,-196.35,ILS
2024-09-12,SUSHI BAR ROTHSCHILD,-167.06,ILS
2024-09-13,APPLE.COM/BILL,-25.75,ILS
2024-09-13,APPLE.COM/BILL,-34.30,ILS
2024-09-13,ARCAFFE DIZENGOFF,-46.03,ILS
2024-09-13,INCOMING TRANSFER NORTHWIND STUDIO INV-3289,4146.56,USD
2024-09-13,ORNA PRINT & DESIGN,-503.95,ILS
2024-09-13,SUPER-PHARM 1113,-53.59,ILS
2024-09-13,SUPER-PHARM 6588,-52.89,ILS
2024-09-13,SUSHI BAR ROTHSCHILD,-158.13,ILS
2024-09-13,TENBIS LTD,-84.66,ILS
2024-09-13,TLV PRINTHOUSE,-281.01,ILS
2024-09-14,CARD FEE ANNUAL,-12.00,ILS
